DATE,AdaBoost,CTEF,KNN,LinearRegression,DecisionTree,Russell 1000 Bench Return
2004-12-01,-0.0009524431818181513,-0.0010989547038327246,-0.00019919860627177184,-0.0010040069686410894,-0.000988632812499999,0.042815
2005-01-01,-0.001521732954545406,-0.0003033101045296089,-0.0013531010452961327,-0.0009600696864111256,-0.0016808007812499992,0.036207
2005-02-01,4.318181818181681e-05,0.001064459930313562,0.0002028571428571377,-6.6550522648083605e-06,-0.00046455078124999974,-0.025196
2005-03-01,0.002287755681818107,0.0019721602787455914,0.001775993031358841,0.0032078745644598455,0.0027060937500000006,0.022487
2005-04-01,0.00149977272727268,0.0014162020905922992,0.0014390940766550154,0.001974076655052213,0.0012990429687500002,-0.01583
2005-05-01,0.0022625852272726565,0.0020957839721253823,0.0031405923344946947,0.001891114982578349,0.002201289062500002,-0.018443
2005-06-01,6.624999999999798e-05,0.00028641114982577633,0.0007351916376306432,0.0002597560975609688,-0.00011826171874999996,0.035451
2005-07-01,-0.00024423295454544663,0.0001688153310104487,0.00017236933797908956,-0.0005303832752613103,-0.00027080078125000005,0.004085
2005-08-01,-0.0021678693181817477,-0.0012108710801393432,-0.001328641114982544,-0.0018823693379790454,-0.0017712695312500008,0.038891
2005-09-01,-0.0016258238636363118,-0.0003931707317073067,-0.0010767944250870797,-0.0016392334494773105,-0.0017091015625000014,-0.008653
2005-10-01,0.0004739772727272586,0.0013819512195121597,0.0013275958188152975,0.0008238327526132198,0.0010379882812499997,0.00929
2005-11-01,0.0009509374999999697,0.0010066202090592072,0.001626759581881491,-0.0005949128919860469,0.0007789062499999994,-0.017537
2005-12-01,-0.002131903409090842,-0.002112961672473815,-0.002314703832752555,-0.0025920905923344263,-0.002594824218750001,0.037981
2006-01-01,-0.0023072443181817452,-0.0018951219512194652,-0.0018031358885016952,-0.0028377700348431343,-0.0031323046875000008,0.001418
2006-02-01,-0.00024454545454544684,-0.001008780487804852,-0.0006947038327525954,-0.00025055749128919216,-0.0007462109374999995,0.028037
2006-03-01,-0.0014001420454545015,-0.0008899651567944017,-0.0008973170731707089,-0.001939825783972075,-0.0017431640624999984,0.002235
2006-04-01,-0.002314374999999926,-0.002328222996515619,-0.00270780487804871,-0.0032599999999999153,-0.0027327148437500015,0.014159
2006-05-01,0.0021550568181817518,0.0015736585365853256,0.001980278745644549,0.002234599303135829,0.0022462499999999987,0.011997
2006-06-01,0.003720880681818063,0.0037860975609755143,0.0035252613240417223,0.0036669337979093144,0.0031440429687500005,-0.029526
2006-07-01,0.0005159943181818022,-0.00036334494773518236,-0.0005376306620208925,0.001560766550522608,0.0005854101562499997,0.001305
2006-08-01,-9.488636363636043e-05,-0.001470243902438986,-0.00018261324041811386,-0.001644320557491247,-0.0006031054687499996,0.002197
2006-09-01,0.00028107954545453554,0.000180278745644595,0.0004786411149825661,0.0001247038327526102,0.00033232421874999983,0.023971
2006-10-01,-0.0002982954545454448,-0.0009397212543553765,5.1219512195120666e-05,-0.001381358885017386,-0.0009010742187499999,0.023732
2006-11-01,-0.0002497727272727191,-0.0003707317073170635,-0.00020668989547037797,-0.001210592334494742,-0.0014016601562499987,0.033956
2006-12-01,-0.0015842329545454037,-0.002528885017421537,-0.0020471428571428047,-0.0017405923344947275,-0.001685898437500001,0.021323
2007-01-01,0.0011255965909090543,0.0009514982578396969,0.001291358885017389,0.00010567944250870832,7.390624999999993e-05,0.012812
